name;zipCode
BOHAS MEYRIAT RIGNAT;01250
MEZERIAT;01660
MIJOUX;01170
MIJOUX;01410
MIONNAY;01390
MIRIBEL;01700
MIRIBEL;01700
MIRIBEL;01700
MISERIEUX;01600
MOGNENEINS;01140
MONTAGNAT;01250
MONTAGNIEU;01470
MONTANGES;01200
MONTCEAUX;01090
MONTCET;01310
LE MONTELLIER;01800
MONTHIEUX;01390
MONTLUEL;01120
MONTLUEL;01120
MONTLUEL;01120
MONTMERLE SUR SAONE;01090
MONTRACOL;01310
MONTREAL LA CLUSE;01460
MONTREVEL EN BRESSE;01340
NURIEUX VOLOGNAT;01460
NURIEUX VOLOGNAT;01460
MURS ET GELIGNIEUX;01300
NANTUA;01130
NANTUA;01460
NEUVILLE LES DAMES;01400
NEUVILLE SUR AIN;01160
LES NEYROLLES;01130
NEYRON;01700
NIEVROZ;01120
NIVOLLET MONTGRIFFON;01230
ONCIEU;01230
ORDONNAZ;01510
ORNEX;01210
OUTRIAZ;01430
OYONNAX;01100
OYONNAX;01100
OYONNAX;01100
OZAN;01190
PARCIEUX;01600
PARVES ET NATTAGES;01300
PARVES ET NATTAGES;01300
PERON;01630
PERONNAS;01960
PEROUGES;01800
PERREX;01540
PEYRIAT;01430
PEYRIEU;01300
PEYZIEUX SUR SAONE;01140
PIRAJOUX;01270
PIZAY;01120
PLAGNE;01130
LE PLANTAY;01330
POLLIAT;01310
POLLIEU;01350
PONCIN;01450
PONT D AIN;01160
PONT DE VAUX;01190
PONT DE VEYLE;01290
PORT;01460
POUGNY;01550
POUILLAT;01250
PREMEYZEL;01300
PREMILLIEU;01110
PREVESSIN MOENS;01280
PREVESSIN MOENS;01280
PRIAY;01160
RAMASSE;01250
RANCE;01390
RELEVANT;01990
REPLONGES;01750
REVONNAS;01250
REYRIEUX;01600
REYSSOUZE;01190
RIGNIEUX LE FRANC;01800
ROMANS;01400
ROSSILLON;01510
ST ALBAN;01450
ST ANDRE DE BAGE;01380
ST ANDRE DE CORCY;01390
ST ANDRE D HUIRIAT;01290
ST ANDRE LE BOUCHOUX;01240
ST ANDRE SUR VIEUX JONC;01960
ST BENIGNE;01190
GROSLEE ST BENOIT;01300
GROSLEE ST BENOIT;01300
ST BERNARD;01600
STE CROIX;01120
ST CYR SUR MENTHON;01380
ST DENIS LES BOURG;01000
ST DENIS EN BUGEY;01500
ST DIDIER D AUSSIAT;01340
ST DIDIER DE FORMANS;01600
ST DIDIER SUR CHALARONNE;01140
ST ELOI;01800
ST ETIENNE DU BOIS;01370
ST ETIENNE SUR CHALARONNE;01140
ST ETIENNE SUR REYSSOUZE;01190
STE EUPHEMIE;01600
ST GENIS POUILLY;01630
ST GENIS SUR MENTHON;01380
ST GEORGES SUR RENON;01400
ST GERMAIN DE JOUX;01130
ST GERMAIN LES PAROISSES;01300
ST GERMAIN SUR RENON;01240
ST JEAN DE GONVILLE;01630
ST JEAN DE NIOST;01800
ST JEAN DE THURIGNEUX;01390
ST JEAN LE VIEUX;01640
ST JEAN SUR REYSSOUZE;01560
ST JEAN SUR VEYLE;01290
STE JULIE;01150
ST JULIEN SUR REYSSOUZE;01560
ST JULIEN SUR VEYLE;01540
ST JUST;01250
ST LAURENT SUR SAONE;01750
ST MARCEL;01390
ST MARTIN DE BAVEL;01510
ST MARTIN DU FRENE;01430
ST MARTIN DU MONT;01160
ST MARTIN LE CHATEL;01310
ST MAURICE DE BEYNOST;01700
ST MAURICE DE GOURDANS;01800
ST MAURICE DE REMENS;01500
ST NIZIER LE BOUCHOUX;01560
ST NIZIER LE DESERT;01320
STE OLIVE;01330
ST PAUL DE VARAX;01240
ST RAMBERT EN BUGEY;01230
ST REMY;01310
ST SORLIN EN BUGEY;01150
ST SULPICE;01340
ST TRIVIER DE COURTES;01560
ST TRIVIER SUR MOIGNANS;01990
ST VULBAS;01150
SALAVRE;01270
SAMOGNAT;01580
SANDRANS;01400
SAULT BRENAZ;01150
SAUVERNY;01220
SAVIGNEUX;01480
SEGNY;01170
SEILLONNAZ;01470
SERGY;01630
SERMOYER;01190
SERRIERES DE BRIORD;01470
SERRIERES SUR AIN;01450
SERVAS;01960
SERVIGNAT;01560
SEYSSEL;01420
SIMANDRE SUR SURAN;01250
SONTHONNAX LA MONTAGNE;01580
SONTHONNAX LA MONTAGNE;01580
SOUCLIN;01150
SULIGNAT;01400
TALISSIEU;01510
TENAY;01230
THIL;01120
THOIRY;01710
THOISSEY;01140
TORCIEU;01230
TOSSIAT;01250
TOUSSIEUX;01600
TRAMOYES;01390
LA TRANCLIERE;01160
VAL REVERMONT;01370
VAL REVERMONT;01370
VAL REVERMONT;01370
TREVOUX;01600
VALEINS;01140
VANDEINS;01660
VARAMBON;01160
VAUX EN BUGEY;01150
VERJON;01270
VERNOUX;01560
VERSAILLEUX;01330
VERSONNEX;01210
VESANCY;01170
VESCOURS;01560
VESINES;01570
VIEU D IZENAVE;01430
VILLARS LES DOMBES;01330
VILLEBOIS;01150
VILLEMOTIER;01270
VILLENEUVE;01480
VILLEREVERSURE;01250
VILLES;01200
VILLETTE SUR AIN;01320
VILLIEU LOYES MOLLON;01800
VILLIEU LOYES MOLLON;01800
VILLIEU LOYES MOLLON;01800
VIRIAT;01440
VIRIEU LE GRAND;01510
ARVIERE EN VALROMEY;01260
ARVIERE EN VALROMEY;01260
ARVIERE EN VALROMEY;01260
ARVIERE EN VALROMEY;01260
VIRIGNIN;01300
VONGNES;01350
VONNAS;01540
ABBECOURT;02300
ACHERY;02800
ACY;02200
AGNICOURT ET SECHELLES;02340
AGUILCOURT;02190
AISONVILLE ET BERNOVILLE;02110
AIZELLES;02820
AIZY JOUY;02370
AIZY JOUY;02370
ALAINCOURT;02240
ALLEMANT;02320
AMBLENY;02290
AMBRIEF;02200
AMIFONTAINE;02190
AMIGNY ROUY;02700
ANCIENVILLE;02600
ANDELAIN;02800
ANGUILCOURT LE SART;02800
ANIZY LE GRAND;02320
ANIZY LE GRAND;02320
ANIZY LE GRAND;02320
ANNOIS;02480
ANY MARTIN RIEUX;02500
ARCHON;02360
ARCY STE RESTITUE;02130
ARCY STE RESTITUE;02130
ARMENTIERES SUR OURCQ;02210
ARRANCY;02860
ARTEMPS;02480
ASSIS SUR SERRE;02270
ATHIES SOUS LAON;02840
ATTILLY;02490
AUBENCHEUL AUX BOIS;02420
AUBENTON;02500
AUBIGNY AUX KAISNES;02590
AUBIGNY EN LAONNOIS;02820
AUDIGNICOURT;02300
AUDIGNY;02120
AUGY;02220
AULNOIS SOUS LAON;02000
LES AUTELS;02360
AUTREMENCOURT;02250
AUTREPPES;02580
AUTREVILLE;02300
AZY SUR MARNE;02400
BAGNEUX;02290
BANCIGNY;02140
BARENTON BUGNY;02000
BARENTON CEL;02000
BARENTON SUR SERRE;02270
BARISIS AUX BOIS;02700
BARZY EN THIERACHE;02170
BARZY SUR MARNE;02850
BASSOLES AULERS;02380
VALLEES EN CHAMPAGNE;02330
VALLEES EN CHAMPAGNE;02330
VALLEES EN CHAMPAGNE;02330
BAZOCHES ET ST THIBAUT;02220
BAZOCHES ET ST THIBAUT;02220
BEAUME;02500
BEAUMONT EN BEINE;02300
BEAUREVOIR;02110
BEAURIEUX;02160
BEAUTOR;02800
BEAUVOIS EN VERMANDOIS;02590
BECQUIGNY;02110
BELLEAU;02400
BELLENGLISE;02420
BELLEU;02200
BELLICOURT;02420
BENAY;02440
BERGUES SUR SAMBRE;02450
BERLANCOURT;02250
BERLISE;02340
BERNOT;02120
BERNY RIVIERE;02290
BERRIEUX;02820
BERRY AU BAC;02190
BERTAUCOURT EPOURDON;02800
BERTHENICOURT;02240
BERTRICOURT;02190
BESME;02300
BESMONT;02500
BESNY ET LOIZY;02870
BETHANCOURT EN VAUX;02300
BEUGNEUX;02210
BEUVARDES;02130
BEZU LE GUERY;02310
BEZU ST GERMAIN;02400
BICHANCOURT;02300
BIEUXY;02290
BIEVRES;02860
BILLY SUR AISNE;02200
BILLY SUR OURCQ;02210
BLANZY LES FISMES;02160
BLERANCOURT;02300
BLESMES;02400
BOHAIN EN VERMANDOIS;02110
BOIS LES PARGNY;02270
BONCOURT;02350
BONNEIL;02400
BONNESVALYN;02400
BONY;02420
BOSMONT SUR SERRE;02250
BOUCONVILLE VAUCLAIR;02860
BOUE;02450
BOUFFIGNEREUX;02160
BOURESCHES;02400
BOURG ET COMIN;02160
BOURGUIGNON SOUS COUCY;02300
BOURGUIGNON SOUS MONTBAVIN;02000
LA BOUTEILLE;02140
BRAINE;02220
BRANCOURT EN LAONNOIS;02320
BRANCOURT LE GRAND;02110
BRASLES;02400
BRAYE EN LAONNOIS;02000
BRAYE EN THIERACHE;02140
BRAY ST CHRISTOPHE;02480
BRAYE;02880
BRECY;02210
BRENELLE;02220
BRENY;02210
BRIE;02870
BRISSAY CHOIGNY;02240
BRISSY HAMEGICOURT;02240
BRUMETZ;02810
BRUNEHAMEL;02360
BRUYERES SUR FERE;02130
BRUYERES ET MONTBERAULT;02860
BRUYS;02220
BUCILLY;02500
BUCY LE LONG;02880
BUCY LES CERNY;02870
BUCY LES PIERREPONT;02350
BUIRE;02500
BUIRONFOSSE;02620
BURELLES;02140
BUSSIARES;02810
BUZANCY;02200
CAILLOUEL CREPIGNY;02300
CAMELIN;02300
CAMELIN;02300
LA CAPELLE;02260
CASTRES;02680
LE CATELET;02420
CAULAINCOURT;02490
CAUMONT;02300
CELLES LES CONDE;02330
CELLES SUR AISNE;02370
CERIZY;02240
CERNY EN LAONNOIS;02860
CERNY LES BUCY;02870
CERSEUIL;02220
CESSIERES SUZY;02320
CESSIERES SUZY;02320
CHACRISE;02200
CHAILLEVOIS;02000
CHALANDRY;02270
CHAMBRY;02000
CHAMOUILLE;02860
CHAMPS;02670
CHAOURSE;02340
LA CHAPELLE SUR CHEZY;02570
CHARLY SUR MARNE;02310
LE CHARMEL;02850
CHARMES;02800
CHARTEVES;02400
CHASSEMY;02370
CHATEAU THIERRY;02400
CHATILLON LES SONS;02270
CHATILLON SUR OISE;02240
CHAUDARDES;02160
CHAUDUN;02200
CHAUNY;02300
CHAVIGNON;02000
CHAVIGNY;02880
CHAVONNE;02370
CHERET;02860
CHERMIZY AILLES;02860
CHERY CHARTREUVE;02220
CHERY LES POUILLY;02000
CHERY LES ROZOY;02360
CHEVENNES;02250
CHEVREGNY;02000
CHEVRESIS MONCEAU;02270
CHEZY EN ORXOIS;02810
CHEZY SUR MARNE;02570
CHIERRY;02400
CHIGNY;02120
CHIVRES EN LAONNOIS;02350
CHIVRES VAL;02880
CHIVY LES ETOUVELLES;02000
CHOUY;02210
CIERGES;02130
CILLY;02250
CIRY SALSOGNE;02220
CLACY ET THIERRET;02000
CLAIRFONTAINE;02260
CLAMECY;02880
CLASTRES;02440
CLERMONT LES FERMES;02340
COEUVRES ET VALSERY;02600
COINCY;02210
COINGT;02360
COLLIGIS CRANDELAIN;02860
COLONFAY;02120
COMMENCHON;02300
CONCEVREUX;02160
CONDE EN BRIE;02330
CONDE SUR AISNE;02370
CONDE SUR SUIPPE;02190
CONDREN;02700
CONNIGIS;02330
CONTESCOURT;02680
CORBENY;02820
CORCY;02600
COUCY LE CHATEAU AUFFRIQUE;02380
COUCY LES EPPES;02840
COUCY LA VILLE;02380
COULONGES COHAN;02130
COULONGES COHAN;02130
COUPRU;02310
COURBES;02800
COURBOIN;02330
COURCELLES SUR VESLE;02220
COURCHAMPS;02810
COURMELLES;02200
COURMONT;02130
COURTEMONT VARENNES;02850
COURTRIZY ET FUSSIGNY;02820
COUVRELLES;02220
COUVRON ET AUMENCOURT;02270
COYOLLES;02600
CRAMAILLE;02130
CRAONNE;02160
CRAONNELLE;02160
CRECY AU MONT;02380
CRECY SUR SERRE;02270
CREPY;02870
CREZANCY;02650
CROIX FONSOMME;02110
LA CROIX SUR OURCQ;02210
CROUTTES SUR MARNE;02310
CROUY;02880
CRUPILLY;02120
CUFFIES;02880
CUGNY;02480
CUIRIEUX;02350
CUIRY HOUSSE;02220
CUIRY LES CHAUDARDES;02160
CUIRY LES IVIERS;02360
CUISSY ET GENY;02160
CUISY EN ALMONT;02200
CUTRY;02600
CYS LA COMMUNE;02220
DAGNY LAMBERCY;02140
DALLON;02680
DAMMARD;02470
DAMPLEUX;02600
DANIZY;02800
DERCY;02270
DEUILLET;02700
DHUIZEL;02220
DIZY LE GROS;02340
DOHIS;02360
DOLIGNON;02360
DOMMIERS;02600
DOMPTIN;02310
DORENGT;02450
DOUCHY;02590
DRAVEGNY;02130
DROIZY;02210
DURY;02480
EBOULEAU;02350
EFFRY;02500
ENGLANCOURT;02260
EPAGNY;02290
EPARCY;02500
EPAUX BEZU;02400
EPIEDS;02400
L EPINE AUX BOIS;02540
EPPES;02840
ERLON;02250
ERLOY;02260
ESQUEHERIES;02170
ESSIGNY LE GRAND;02690
ESSIGNY LE PETIT;02100
ESSISES;02570
ESSOMES SUR MARNE;02400
ESTREES;02420
ETAMPES SUR MARNE;02400
ETAVES ET BOCQUIAUX;02110
ETOUVELLES;02000
ETREAUPONT;02580
ETREILLERS;02590
ETREPILLY;02400
ETREUX;02510
EVERGNICOURT;02190
FAVEROLLES;02600
FAYET;02100
LA FERE;02800
FERE EN TARDENOIS;02130
LA FERTE CHEVRESIS;02270
LA FERTE MILON;02460
LA FERTE MILON;02460
FESMY LE SART;02450
FESMY LE SART;02450
FESTIEUX;02840
FIEULAINE;02110
LA FLAMENGRIE;02260
FLAVIGNY LE GRAND ET BEAURAIN;02120
FLAVY LE MARTEL;02520
FLEURY;02600
FLUQUIERES;02590
FOLEMBRAY;02670
FONSOMME;02110
FONTAINE LES CLERCS;02680
FONTAINE LES VERVINS;02140
FONTAINE NOTRE DAME;02110
FONTAINE UTERTE;02110
FONTENELLE;02170
FONTENOY;02290
FORESTE;02590
FOSSOY;02650
FOURDRAIN;02870
FRANCILLY SELENCY;02760
FRANQUEVILLE;02140
FRESNES EN TARDENOIS;02130
FRESNES SOUS COUCY;02380
FRESNOY LE GRAND;02230
FRESSANCOURT;02800
FRIERES FAILLOUEL;02700
FROIDESTREES;02260
FROIDMONT COHARTILLE;02270
GANDELU;02810
GAUCHY;02430
GERCY;02140
GERGNY;02260
GERMAINE;02590
GIBERCOURT;02440
GIZY;02350
GLAND;02400
GOUDELANCOURT LES BERRIEUX;02820
GOUDELANCOURT LES PIERREPONT;02350
GOUSSANCOURT;02130
GOUY;02420
GRANDLUP ET FAY;02350
GRANDRIEUX;02360
GRICOURT;02100
GRISOLLES;02210
GRONARD;02140
GROUGIS;02110
GRUGIES;02680
VILLENEUVE SUR AISNE;02190
VILLENEUVE SUR AISNE;02190
GUISE;02120
GUIVRY;02300
GUNY;02300
GUYENCOURT;02160
HANNAPES;02510
HAPPENCOURT;02480
HARAMONT;02600
HARCIGNY;02140
HARGICOURT;02420
HARLY;02100
HARTENNES ET TAUX;02210
HARY;02140
LEHAUCOURT;02420
HAUTEVESNES;02810
HAUTEVILLE;02120
HAUTION;02140
LA HERIE;02500
LE HERIE LA VIEVILLE;02120
HINACOURT;02440
HIRSON;02500
HOLNON;02760
HOMBLIERES;02720
HOURY;02140
HOUSSET;02250
IRON;02510
ITANCOURT;02240
IVIERS;02360
JAULGONNE;02850
JEANCOURT;02490
JEANTES;02140
JONCOURT;02420
JOUAIGNES;02220
JUMENCOURT;02380
JUMIGNY;02160
JUSSY;02480
JUVIGNY;02880
JUVINCOURT ET DAMARY;02190
LAFFAUX;02880
LAIGNY;02140
LANCHY;02590
LANDIFAY ET BERTAIGNEMONT;02120
LANDOUZY LA COUR;02140
LANDOUZY LA VILLE;02140
LANDRICOURT;02380
LANISCOURT;02000
LAON;02000
LAPPION;02150
LARGNY SUR AUTOMNE;02600
LATILLY;02210
LAUNOY;02210
LAVAL EN LAONNOIS;02860
LAVAQUERESSE;02450
LAVERSINE;02600
LEME;02140
LEMPIRE;02420
LERZY;02260
LESCHELLE;02170
LESDINS;02100
LESGES;02220
LESQUIELLES ST GERMAIN;02120
LEUILLY SOUS COUCY;02380
LEURY;02880
LEUZE;02500
LEVERGIES;02420
LHUYS;02220
LICY CLIGNON;02810
LIERVAL;02860
LIESSE NOTRE DAME;02350
LIEZ;02700
LIME;02220
LISLET;02340
LOGNY LES AUBENTON;02500
LONGPONT;02600
LES SEPTVALLONS;02160
LES SEPTVALLONS;02160
LES SEPTVALLONS;02160
LES SEPTVALLONS;02160
LES SEPTVALLONS;02160
LES SEPTVALLONS;02160
LES SEPTVALLONS;02160
LES SEPTVALLONS;02160
LOR;02190
LOUATRE;02600
LOUPEIGNE;02130
LUCY LE BOCAGE;02400
LUGNY;02140
LUZOIR;02500
LY FONTAINE;02440
MAAST ET VIOLAINE;02220
MACHECOURT;02350
MACOGNY;02470
MACQUIGNY;02120
MAGNY LA FOSSE;02420
MAISSEMY;02490
MAIZY;02160
LA MALMAISON;02190
MALZY;02120
MANICAMP;02300
MARCHAIS;02350
DHUYS ET MORIN EN BRIE;02330
DHUYS ET MORIN EN BRIE;02540
DHUYS ET MORIN EN BRIE;02540
DHUYS ET MORIN EN BRIE;02540
MARCY;02720
MARCY SOUS MARLE;02250
MAREST DAMPCOURT;02300
MAREUIL EN DOLE;02130
MARFONTAINE;02140
MARGIVAL;02880
MARIGNY EN ORXOIS;02810
MARIZY STE GENEVIEVE;02470
MARIZY ST MARD;02470
MARLE;02250
MARLY GOMONT;02120
MARTIGNY;02500
MARTIGNY COURPIERRE;02860
MAUREGNY EN HAYE;02820
MAYOT;02800
MENNESSIS;02700
MENNEVRET;02630
MERCIN ET VAUX;02200
MERLIEUX ET FOUQUEROLLES;02000
MESBRECOURT RICHECOURT;02270
MESNIL ST LAURENT;02720
MEURIVAL;02160
MEZIERES SUR OISE;02240
MEZY MOULINS;02650
MISSY AUX BOIS;02200
MISSY LES PIERREPONT;02350
MISSY SUR AISNE;02880
MOLAIN;02110
MOLINCHART;02000
MONAMPTEUIL;02000
MONCEAU LE NEUF ET FAUCOUZY;02270
MONCEAU LES LEUPS;02270
MONCEAU LE WAAST;02840
MONCEAU SUR OISE;02120
MONDREPUIS;02500
MONNES;02470
MONS EN LAONNOIS;02000
MONTAIGU;02820
MONTBAVIN;02000
MONTBREHAIN;02110
MONTCHALONS;02860
MONTCORNET;02340
MONT D ORIGNY;02390
MONTESCOURT LIZEROLLES;02440
MONTFAUCON;02540
MONTGOBERT;02600
MONTGRU ST HILAIRE;02210
MONTHENAULT;02860
MONTHIERS;02400
MONTHUREL;02330
MONTIGNY EN ARROUAISE;02110
MONTIGNY L ALLIER;02810
MONTIGNY LE FRANC;02250
MONTIGNY LENGRAIN;02290
MONTIGNY LES CONDE;02330
MONTIGNY SOUS MARLE;02250
MONTIGNY SUR CRECY;02270
MONTLEVON;02330
MONTLOUE;02340
MONT NOTRE DAME;02220
MONTREUIL AUX LIONS;02310
MONT ST JEAN;02360
MONT ST MARTIN;02220
MONT ST PERE;02400
MORCOURT;02100
MORGNY EN THIERACHE;02360
MORSAIN;02290
MORTEFONTAINE;02600
MORTIERS;02270
MOULINS;02160
MOUSSY VERNEUIL;02160
MOY DE L AISNE;02610
MURET ET CROUTTES;02210
MUSCOURT;02160
NAMPCELLES LA COUR;02140
NAMPTEUIL SOUS MURET;02200
NANTEUIL LA FOSSE;02880
NANTEUIL NOTRE DAME;02210
NAUROY;02420
NESLES LA MONTAGNE;02400
NEUFCHATEL SUR AISNE;02190
NEUFLIEUX;02300
NEUILLY ST FRONT;02470
NEUVE MAISON;02500
LA NEUVILLE BOSMONT;02250
LA NEUVILLE EN BEINE;02300
LA NEUVILLE HOUSSET;02250
LA NEUVILLE LES DORENGT;02450
NEUVILLE ST AMAND;02100
NEUVILLE SUR AILETTE;02860
NEUVILLE SUR MARGIVAL;02880
NEUVILLETTE;02390
NIZY LE COMTE;02150
NOGENTEL;02400
NOGENT L ARTAUD;02310
NOIRCOURT;02340
NOROY SUR OURCQ;02600
LE NOUVION EN THIERACHE;02170
NOUVION ET CATILLON;02270
NOUVION ET CATILLON;02270
NOUVION LE COMTE;02800
NOUVION LE VINEUX;02860
NOUVRON VINGRE;02290
NOYALES;02120
BERNOY LE CHATEAU;02200
BERNOY LE CHATEAU;02200
OEUILLY;02160
OGNES;02300
OHIS;02500
OIGNY EN VALOIS;02600
OISY;02450
OLLEZY;02480
OMISSY;02100
ORAINVILLE;02190
ORGEVAL;02860
ORIGNY EN THIERACHE;02550
ORIGNY STE BENOITE;02390
OSLY COURTIL;02290
OSTEL;02370
OULCHES LA VALLEE FOULON;02160
OULCHY LA VILLE;02210
OULCHY LE CHATEAU;02210
OULCHY LE CHATEAU;02210
PAARS;02220
PAISSY;02160
PANCY COURTECON;02860
PAPLEUX;02260
PARCY ET TIGNY;02210
PARFONDEVAL;02360
PARFONDRU;02840
PARGNAN;02160
PARGNY ET FILAIN;02000
PARGNY ET FILAIN;02000
PARGNY LA DHUYS;02330
PARGNY LES BOIS;02270
PARPEVILLE;02240
PASLY;02200
PASSY EN VALOIS;02470
PASSY SUR MARNE;02850
PAVANT;02310
PERNANT;02200
PIERREMANDE;02300
PIERREPONT;02350
PIGNICOURT;02190
PINON;02320
PITHON;02480
PLEINE SELVE;02240
LE PLESSIER HULEU;02210
PLOISY;02200
PLOMION;02140
PLOYART ET VAURSEINE;02860
POMMIERS;02200
PONT ARCY;02160
PONTAVERT;02160
PONTRU;02490
PONTRUET;02490
PONT ST MARD;02380
